mobile_name,mobile_price,mobile_color,_sim,disp_size,resolution,os,num_cores,_speed,int_memory,ram,p_cam,f_cam,network,bluetooth,battery_power,mob_width,mob_height,mob_depth,mob_weight
RedmiNote6Pro(Roseold64),15990.00,Roseold,Sim,15.9,2462400,AndroidOreo8.1,OctaCore,1.8,64,4,125,202,3,Yes,4000,76.4,157.9,8.26,181
MiA2(Red64),13999.00,Red,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,64,4,2012,20,3,Yes,3010,75.4,158.7,7.3,168
Mi10(Twilihtrey256),55799.00,Twilihtrey,Sim,16.94,2527200,AndroidPie10,OctaCore,2.84,256,8,108,20,4,Yes,4780,74.8,162.58,8.96,209
Mi10(Coralreen128),51800.00,Coralreen,Sim,16.94,2527200,AndroidPie10,OctaCore,2.84,128,8,108,20,4,Yes,4780,74.8,162.58,8.96,209
RedmiK20(FlameRed128),24999.00,FlameRed,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.2,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
MiA2(Red128),16899.00,Red,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,128,6,2012,20,3,Yes,3010,75.4,158.7,7.3,168
MiA2(old128),16899.00,old,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,128,6,2012,20,3,Yes,3010,75.4,158.7,7.3,168
RedmiK20(CarbonBlack128),24999.00,CarbonBlack,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.2,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
MiA2(LakeBlue128),16899.00,LakeBlue,Sim,15.21,2332800,AndroidOreo8.1,OctaCore,2.2,128,6,2012,20,3,Yes,3010,75.4,158.7,7.3,168
RedmiNote5Pro(Red64),16999.00,Red,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,6,125,20,34,Yes,4000,75.35,158.58,8.05,181
RedmiK20(PearlWhite128),24999.00,PearlWhite,Sim,16.23,2527200,AndroidPie9,OctaCore,2.2,128,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
MI3(Metallicrey16),13999.00,Metallicrey,singleSim,12.7,2073600,AndroidKitKat4.4.2,QuadCore,2.3,16,2,13,2,3,Yes,3050,73.6,144,8.1,145
Redmi8(Emeraldreen64),9799.00,Emeraldreen,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,4,122,8,42,Yes,5000,75.41,156.48,9.4,188
Redmi8(RubyRed64),9799.00,RubyRed,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,4,122,8,42,Yes,5000,75.41,156.48,9.4,188
Redmi8(OnyxBlack64),9799.00,OnyxBlack,Sim,15.8,1094400,AndroidPie9,OctaCore,1.95,64,4,122,8,42,Yes,5000,75.41,156.48,9.4,188
MiA3(Kindofrey64),12999.00,Kindofrey,Sim,15.46,1123200,AndroidPie9,OctaCore,2,64,4,4882,32,423,Yes,4030,71.85,153.48,8.475,173.8
RedmiNote9Pro(InterstellarBlack128),14999.00,InterstellarBlack,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,128,6,48852,16,4,Yes,5020,76.68,165.75,8.8,209
RedmiNote9Pro(AuroraBlue128),14999.00,AuroraBlue,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,128,6,48852,16,4,Yes,5020,76.68,165.75,8.8,209
RedmiNote9Pro(AuroraBlue64),16998.00,AuroraBlue,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,64,4,48852,16,4,Yes,5020,76.68,165.75,8.8,209
Redmi8A(SeaBlue32),7399.00,SeaBlue,Sim,15.8,1094400,AndroidPie9,OctaCore,2,32,2,132,8,42,Yes,5000,9,175,92,186
Redmi8A(Midnihtrey32),7499.00,Midnihtrey,Sim,15.8,1094400,AndroidPie9,OctaCore,2,32,3,132,8,4,Yes,5000,9,175,92,186
RedmiNote8(MoonlihtWhite64),11199.00,MoonlihtWhite,Sim,16,2462400,AndroidPie9,OctaCore,2,64,4,488,13,4,Yes,4000,8.35,158.3,75.3,190
RedmiNote8(NeptuneBlue128),13261.00,NeptuneBlue,Sim,16,2462400,AndroidPie9,OctaCore,2,128,6,488,13,4,Yes,4000,8.35,158.3,75.3,190
RedmiNote8(NeptuneBlue32),10978.00,NeptuneBlue,Sim,16,2462400,AndroidPie9,OctaCore,2,32,3,488,13,4,Yes,4000,8.35,158.3,75.3,190
MiA3(NotjustBlue64),12999.00,NotjustBlue,Sim,15.46,1123200,AndroidPie9,OctaCore,2,64,4,4882,32,423,Yes,4030,71.85,153.48,8.475,
MiA3(MoreThanWhite64),12999.00,MoreThanWhite,Sim,15.46,1123200,AndroidPie9,OctaCore,2,64,4,4882,32,423,Yes,4030,71.85,153.48,8.475,173.8
RedmiNote8(NeptuneBlue64),11280.00,NeptuneBlue,Sim,16,2462400,AndroidPie9,OctaCore,2,64,4,488,13,4,Yes,4000,8.35,158.3,75.3,190
RedmiNote8(SpaceBlack64),10100.00,SpaceBlack,Sim,16,2462400,AndroidPie9,OctaCore,2,64,4,488,13,4,Yes,4000,8.35,158.3,75.3,190
Redmi8A(SkyWhite32),7450.00,SkyWhite,Sim,15.8,1094400,AndroidPie9,OctaCore,2,32,3,132,8,42,Yes,5000,9,175,92,186
RedmiNote7Pro(SpaceBlack64),12999.00,SpaceBlack,Sim,16,2527200,AndroidPie9,OctaCore,2,64,6,485,13,3,Yes,4000,75.21,159.21,8.1,186
RedmiK20Pro(FlameRed256),29999.00,FlameRed,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.84,256,8,48138,20,3,Yes,4000,74.3,156.7,8.8,191
RedmiNote9Pro(lacierWhite64),12999.00,lacierWhite,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,64,4,48852,16,4,Yes,5020,76.68,165.75,8.8,209
RedmiNote9Pro(InterstellarBlack64),12999.00,InterstellarBlack,Sim,16.94,2592000,AndroidPie10,OctaCore,2.3,64,4,48852,16,4,Yes,5020,76.68,165.75,8.8,209
Redmi8A(SeaBlue32),7499.00,SeaBlue,Sim,15.8,1094400,AndroidPie9,OctaCore,2,32,3,132,8,42,Yes,5000,9,175,92,186
RedmiNote6Pro(Black64),11999.00,Black,Sim,15.9,2462400,AndroidOreo8.1,OctaCore,1.8,64,6,125,202,3,Yes,4000,76.4,157.9,8.26,181
RedmiNote6Pro(Red64),11999.00,Red,Sim,15.9,2462400,AndroidOreo8.1,OctaCore,1.8,64,6,125,202,3,Yes,4000,76.4,157.9,8.26,181
RedmiNote4(Black64),12999.00,Black,Sim,13.97,2073600,AndroidMarshmallow6.0.1,OctaCore,2,64,4,13,5,34,Yes,4100,76,151,8.4,165
RedmiNote6Pro(Roseold64),11999.00,Roseold,Sim,15.9,2462400,AndroidOreo8.1,OctaCore,1.8,64,6,125,202,3,Yes,4000,76.4,157.9,8.26,181
RedmiK20(lacierBlue64),21999.00,lacierBlue,Sim,16.23,2527200,AndroidPie9.0,OctaCore,2.2,64,6,48138,20,3,Yes,4000,74.3,156.7,8.8,191
RedmiNote5Pro(old64),12999.00,old,Sim,15.21,2332800,AndroidNouat7.1.2,OctaCore,1.8,64,4,125,20,34,Yes,4000,75.35,158.58,8.05,181
